AÑO,MES,NOMBRE_MES_CORTO,DES_PRODUCTO,Cantidad Importación,Cantidad Cotización,Cantidad Ventas
2016,2,FEB,PROTECCION,1,0,0
2016,4,ABR,BOMBA ACODADA HDT 108 LITROS,1,0,0
2016,4,ABR,COUPLING ACOPLE TDFNI/UNIBOMBA,2,0,0
2016,4,ABR,KIT BMB.BENT AXIS HDT84 IZQ+RAC.REC,2,0,0
2016,4,ABR,KIT DE MONTAJE,1,0,0
2016,4,ABR,KIT DE MONTAJE 60.3 C.SHAANXI+LUB.,1,0,0
2016,4,ABR,KIT DE MONTAJE OMFB,1,0,0
2016,4,ABR,MANUALS TECHNICAL,1,0,0
2016,4,ABR,PERNO,2,0,0
2016,4,ABR,PISTA DESLIZAMIENTO,1,0,0
2016,4,ABR,PLATO DE APOYO 600X600X60,6,0,0
2016,4,ABR,SISTEMA LEVERAGIIO PER AUMENTO CORSA,1,0,0
2016,4,ABR,VALVULA,13,0,0
2016,4,ABR,ZSUPPORTI INFORM,1,0,0
2016,5,MAY,ADAPTADOR DOBLEMANDO,2,0,0
2016,5,MAY,ANILLO/A,2,0,0
2016,5,MAY,BOBINA,6,0,0
2016,5,MAY,CABLE ELECTRICO,1,0,0
2016,5,MAY,CASQUILLO,4,0,0
2016,5,MAY,CILINDRO,2,0,0
2016,5,MAY,ELECTROVALVULA,6,0,0
2016,5,MAY,ENROLLADOR DE CABLE,10,0,0
2016,5,MAY,FILTRO,20,0,0
2016,5,MAY,FILTRO DE RETORNO ,2,0,0
2016,5,MAY,GRUA HIDRULICA ARTICULADA 455/8S-100027763 + ESTABILIZADOR,1,0,0
2016,5,MAY,GUARDAPOLVO,20,0,0
2016,5,MAY,KIT BMB . BENT AXIS HDS55 IZQ+RAC.REC,1,0,0
2016,5,MAY,KIT MAT. X TRASS.SFILI GRU855,1,0,0
2016,5,MAY,PERNO,5,0,0
2016,5,MAY,PISTA DESLIZAMIENTO,1,0,0
2016,5,MAY,PISTON,1,0,0
2016,5,MAY,SEPARADOR,4,0,0
2016,5,MAY,VARILLA,4,0,0
2016,6,JUN,CARGADOR DE BATERIAS,1,0,0
2016,6,JUN,CASQUILLO,1,0,0
2016,6,JUN,DOUBLE ACTING VALVE 1/2,1,0,0
2016,6,JUN,JUEGO DE JUNTAS,1,0,0
2016,6,JUN,JUEGO RETENES,2,0,0
