Periodo,idArticulo,ventas,DescProducto
2021-10-01,9950,74.0, REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2021-09-01,9950,25.0, REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2021-08-01,9950,28.0, REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2021-07-01,9950,15.0, REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2021-06-01,9950,13.0, REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2021-05-01,9950,41.0, REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2021-04-01,9950,19.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2021-03-01,9950,9.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2021-02-01,9950,8.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2021-01-01,9950,76.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2020-12-01,9950,9.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2020-11-01,9950,14.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2020-10-01,9950,22.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2020-09-01,9950,6.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2020-08-01,9950,32.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2020-07-01,9950,27.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2020-06-01,9950,52.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2020-05-01,9950,6.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2020-04-01,9950,1.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2020-03-01,9950,6.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2020-02-01,9950,35.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2020-01-01,9950,17.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2019-12-01,9950,22.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2019-11-01,9950,88.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2019-10-01,9950,34.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2019-09-01,9950,5.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2019-08-01,9950,49.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2019-07-01,9950,32.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2019-06-01,9950,18.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2019-05-01,9950,59.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2019-04-01,9950,59.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2019-03-01,9950,18.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2019-02-01,9950,88.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2019-01-01,9950,50.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2018-12-01,9950,50.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2018-11-01,9950,15.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2018-10-01,9950,47.0,REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2018-08-01,9950,57.0, REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2018-07-01,9950,33.0, REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2018-06-01,9950,18.0, REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2018-05-01,9950,60.0, REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2018-04-01,9950,60.0, REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2018-03-01,9950,18.0, REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2018-02-01,9950,89.0, REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2018-01-01,9950,52.0, REFRIGERANTE COOLANT AZUL/NATURAL TRANSP. GALON FRESH
2021-10-01,9776,331.0, MANGUERA ACEITE 5/16 X CMS
2021-09-01,9776,550.0, MANGUERA ACEITE 5/16 X CMS
2021-08-01,9776,1701.0, MANGUERA ACEITE 5/16 X CMS
2021-07-01,9776,571.0, MANGUERA ACEITE 5/16 X CMS
2021-06-01,9776,291.0, MANGUERA ACEITE 5/16 X CMS
2021-05-01,9776,1590.0, MANGUERA ACEITE 5/16 X CMS
2021-04-01,9776,450.0,MANGUERA ACEITE 5/16 X CMS
2021-03-01,9776,480.0,MANGUERA ACEITE 5/16 X CMS
2021-02-01,9776,840.0,MANGUERA ACEITE 5/16 X CMS
2021-01-01,9776,1840.0,MANGUERA ACEITE 5/16 X CMS
2020-12-01,9776,760.0,MANGUERA ACEITE 5/16 X CMS
2020-11-01,9776,1605.0,MANGUERA ACEITE 5/16 X CMS
2020-10-01,9776,2260.0,MANGUERA ACEITE 5/16 X CMS
2020-09-01,9776,2445.0,MANGUERA ACEITE 5/16 X CMS
2020-08-01,9776,790.0,MANGUERA ACEITE 5/16 X CMS
2020-07-01,9776,1015.0,MANGUERA ACEITE 5/16 X CMS
2020-06-01,9776,979.0,MANGUERA ACEITE 5/16 X CMS
2020-05-01,9776,220.0,MANGUERA ACEITE 5/16 X CMS
2020-03-01,9776,870.0,MANGUERA ACEITE 5/16 X CMS
2020-02-01,9776,1060.0,MANGUERA ACEITE 5/16 X CMS
2020-01-01,9776,3125.0,MANGUERA ACEITE 5/16 X CMS
2019-12-01,9776,2680.0,MANGUERA ACEITE 5/16 X CMS
2019-11-01,9776,980.0,MANGUERA ACEITE 5/16 X CMS
2019-10-01,9776,1935.0,MANGUERA ACEITE 5/16 X CMS
2019-09-01,9776,50.0,MANGUERA ACEITE 5/16 X CMS
2019-08-01,9776,530.0,MANGUERA ACEITE 5/16 X CMS
2019-07-01,9776,846.0,MANGUERA ACEITE 5/16 X CMS
2019-06-01,9776,1011.0,MANGUERA ACEITE 5/16 X CMS
2019-05-01,9776,925.0,MANGUERA ACEITE 5/16 X CMS
2019-04-01,9776,710.0,MANGUERA ACEITE 5/16 X CMS
2019-03-01,9776,1710.0,MANGUERA ACEITE 5/16 X CMS
2019-02-01,9776,700.0,MANGUERA ACEITE 5/16 X CMS
2019-01-01,9776,941.0,MANGUERA ACEITE 5/16 X CMS
2018-12-01,9776,3460.0,MANGUERA ACEITE 5/16 X CMS
2018-11-01,9776,720.0,MANGUERA ACEITE 5/16 X CMS
2018-10-01,9776,240.0,MANGUERA ACEITE 5/16 X CMS
2018-08-01,9776,499.0, MANGUERA ACEITE 5/16 X CMS
2018-07-01,9776,857.0, MANGUERA ACEITE 5/16 X CMS
2018-06-01,9776,993.0, MANGUERA ACEITE 5/16 X CMS
2018-05-01,9776,960.0, MANGUERA ACEITE 5/16 X CMS
2018-04-01,9776,712.0, MANGUERA ACEITE 5/16 X CMS
2018-03-01,9776,1770.0, MANGUERA ACEITE 5/16 X CMS
2018-02-01,9776,714.0, MANGUERA ACEITE 5/16 X CMS
2018-01-01,9776,938.0, MANGUERA ACEITE 5/16 X CMS
2021-10-01,963,3.0," ABRAZADERA MANGUERA 1 1/2\"" TITAN"
2021-09-01,963,4.0," ABRAZADERA MANGUERA 1 1/2\"" TITAN"
2021-08-01,963,2.0," ABRAZADERA MANGUERA 1 1/2\"" TITAN"
2021-07-01,963,14.0," ABRAZADERA MANGUERA 1 1/2\"" TITAN"
2021-06-01,963,6.0," ABRAZADERA MANGUERA 1 1/2\"" TITAN"
2021-05-01,963,14.0," ABRAZADERA MANGUERA 1 1/2\"" TITAN"
2021-04-01,963,11.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2021-03-01,963,13.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2021-02-01,963,12.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2021-01-01,963,4.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2020-12-01,963,16.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2020-11-01,963,8.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2020-10-01,963,4.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2020-09-01,963,9.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2020-08-01,963,6.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2020-07-01,963,13.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2020-06-01,963,1.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2020-05-01,963,3.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2020-03-01,963,2.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2020-01-01,963,19.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2019-12-01,963,2.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2019-10-01,963,8.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2019-09-01,963,4.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2019-08-01,963,2.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2019-07-01,963,10.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2019-06-01,963,1.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2019-05-01,963,3.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2019-04-01,963,7.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2019-03-01,963,2.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2019-02-01,963,5.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2019-01-01,963,8.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2018-12-01,963,6.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2018-11-01,963,7.0,"ABRAZADERA MANGUERA 1 1/2"" TITAN"
2018-08-01,963,2.0," ABRAZADERA MANGUERA 1 1/2"" TITAN"
2018-07-01,963,11.0," ABRAZADERA MANGUERA 1 1/2"" TITAN"
2018-06-01,963,1.0," ABRAZADERA MANGUERA 1 1/2"" TITAN"
2018-05-01,963,3.0," ABRAZADERA MANGUERA 1 1/2"" TITAN"
2018-04-01,963,7.0," ABRAZADERA MANGUERA 1 1/2"" TITAN"
2018-03-01,963,2.0," ABRAZADERA MANGUERA 1 1/2"" TITAN"
2018-02-01,963,5.0," ABRAZADERA MANGUERA 1 1/2"" TITAN"
2018-01-01,963,8.0," ABRAZADERA MANGUERA 1 1/2"" TITAN"
2021-09-01,7801,6.0, CONDENSADOR NISSAN DATSUN ALL 0.25MF
2021-08-01,7801,1.0, CONDENSADOR NISSAN DATSUN ALL 0.25MF
2021-07-01,7801,3.0, CONDENSADOR NISSAN DATSUN ALL 0.25MF
2021-06-01,7801,4.0, CONDENSADOR NISSAN DATSUN ALL 0.25MF
2021-04-01,7801,4.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2021-03-01,7801,3.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2021-02-01,7801,5.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2021-01-01,7801,5.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2020-12-01,7801,2.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2020-11-01,7801,2.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2020-10-01,7801,3.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2020-09-01,7801,2.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2020-08-01,7801,4.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2020-07-01,7801,6.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2020-06-01,7801,11.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2020-05-01,7801,3.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2020-02-01,7801,3.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2020-01-01,7801,3.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2019-12-01,7801,6.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2019-11-01,7801,21.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2019-10-01,7801,2.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2019-09-01,7801,4.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2019-08-01,7801,4.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2019-07-01,7801,3.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2019-06-01,7801,3.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2019-05-01,7801,8.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2019-04-01,7801,1.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2019-03-01,7801,16.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2019-02-01,7801,3.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2019-01-01,7801,2.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2018-12-01,7801,7.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2018-11-01,7801,6.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2018-10-01,7801,3.0,CONDENSADOR NISSAN DATSUN ALL 0.25MF
2018-08-01,7801,4.0, CONDENSADOR NISSAN DATSUN ALL 0.25MF
2018-07-01,7801,3.0, CONDENSADOR NISSAN DATSUN ALL 0.25MF
2018-06-01,7801,3.0, CONDENSADOR NISSAN DATSUN ALL 0.25MF
2018-05-01,7801,8.0, CONDENSADOR NISSAN DATSUN ALL 0.25MF
