idArticulo,hyper,r2_test,mse_test,model
551.0,"{'ar': 2, 'ii': 1, 'ma': 2}",-3.7501311275393947,0.4049371964716046,ARIMA
594.0,"{'ar': 2, 'ii': 3, 'ma': 5}",-0.6821239257221412,3.840954366844184,ARIMA
963.0,"{'ar': 4, 'ii': 1, 'ma': 0}",-0.9557597204850952,1.9969795585130916,ARIMA
1208.0,"{'ar': 2, 'ii': 1, 'ma': 0}",-0.4749724050536748,0.08919110488777644,ARIMA
1224.0,"{'ar': 4, 'ii': 2, 'ma': 6}",-0.684225844440024,1.727660066763265,ARIMA
1627.0,"{'ar': 4, 'ii': 0, 'ma': 0}",-0.7316038119038748,1.1866400082847008,ARIMA
3090.0,"{'ar': 6, 'ii': 2, 'ma': 4}",-0.9704239163256201,2.4131956157777714,ARIMA
3882.0,"{'ar': 4, 'ii': 2, 'ma': 5}",0.31674520537033424,0.037977353950512556,ARIMA
3883.0,"{'ar': 6, 'ii': 2, 'ma': 3}",-1.4393570047904158,1.5347944682825418,ARIMA
3885.0,"{'ar': 2, 'ii': 2, 'ma': 3}",0.13008948695735667,0.12413139375381456,ARIMA
4070.0,"{'ar': 4, 'ii': 0, 'ma': 1}",-0.7278545351309262,3.1039830381254188,ARIMA
4765.0,"{'ar': 3, 'ii': 0, 'ma': 6}",-5.567094317711134,0.30370932282204577,ARIMA
4827.0,"{'ar': 5, 'ii': 3, 'ma': 1}",-8.649701756714615,0.4223058403305324,ARIMA
5389.0,"{'ar': 2, 'ii': 2, 'ma': 4}",-0.17014343781635732,0.3002964813862428,ARIMA
5579.0,"{'ar': 3, 'ii': 2, 'ma': 2}",-0.21281299035614198,0.422479537622112,ARIMA
7798.0,"{'ar': 3, 'ii': 3, 'ma': 0}",-7.190712709575953,11.654573049484082,ARIMA
7799.0,"{'ar': 3, 'ii': 1, 'ma': 1}",-0.6559420989898881,0.5015454430895884,ARIMA
7801.0,"{'ar': 2, 'ii': 3, 'ma': 6}",-0.008161299512819742,0.1778333302712073,ARIMA
9776.0,"{'ar': 2, 'ii': 0, 'ma': 1}",-0.3694486855170198,0.6472079044418884,ARIMA
9950.0,"{'ar': 3, 'ii': 1, 'ma': 4}",-1.7203489089269155,2.321397630726194,ARIMA
10927.0,"{'ar': 4, 'ii': 1, 'ma': 5}",-13.150624649843385,0.5035760951880629,ARIMA
10964.0,"{'ar': 5, 'ii': 1, 'ma': 5}",-1.3932259237555904,3.9866258382580906,ARIMA
11395.0,"{'ar': 2, 'ii': 0, 'ma': 1}",-0.32177001722683896,0.22402657689994604,ARIMA
11397.0,"{'ar': 4, 'ii': 2, 'ma': 3}",-17.55874698732159,0.18130868175698273,ARIMA
11509.0,"{'ar': 4, 'ii': 1, 'ma': 0}",-1.4952300040003035,1.7249788047597543,ARIMA
11523.0,"{'ar': 2, 'ii': 1, 'ma': 0}",-0.9537609756431797,0.08638745871909417,ARIMA
11807.0,"{'ar': 6, 'ii': 0, 'ma': 2}",-0.01998462076522589,0.6580564299562789,ARIMA
14709.0,"{'ar': 2, 'ii': 0, 'ma': 2}",-1.013178473906208,1.3716156836777298,ARIMA
16404.0,"{'ar': 5, 'ii': 0, 'ma': 1}",-22.325067082958945,2.2437193272309273,ARIMA
17413.0,"{'ar': 2, 'ii': 0, 'ma': 3}",0.18174072598102953,0.7728179632525063,ARIMA
17414.0,"{'ar': 5, 'ii': 2, 'ma': 4}",-1.1409433553379436,0.8579829170438422,ARIMA
17750.0,"{'ar': 3, 'ii': 1, 'ma': 1}",-5.4345811287052195,2.6683287892961753,ARIMA
17779.0,"{'ar': 3, 'ii': 1, 'ma': 2}",0.21832828765503642,1.2277264907896068,ARIMA
19571.0,"{'ar': 2, 'ii': 0, 'ma': 0}",-0.3639390444235555,0.3980979995599001,ARIMA
19574.0,"{'ar': 4, 'ii': 1, 'ma': 2}",0.08973046434734955,1.5324900642164636,ARIMA
20263.0,"{'ar': 2, 'ii': 0, 'ma': 3}",-0.039881088903397366,1.0101760807768574,ARIMA
20301.0,"{'ar': 3, 'ii': 0, 'ma': 0}",0.13102047581985854,0.3373819984885255,ARIMA
20310.0,"{'ar': 4, 'ii': 2, 'ma': 6}",0.7912662692649253,0.21714122252689794,ARIMA
20697.0,"{'ar': 2, 'ii': 2, 'ma': 1}",-0.6353999725051547,1.9196247403920765,ARIMA
21577.0,"{'ar': 2, 'ii': 2, 'ma': 2}",-1.7839707883511675,2.038611196063637,ARIMA
23900.0,"{'ar': 5, 'ii': 2, 'ma': 6}",-0.7476549043433176,3.0135934403832363,ARIMA
26158.0,"{'ar': 2, 'ii': 0, 'ma': 0}",-0.6999351547472756,1.3807792992347234,ARIMA
27165.0,"{'ar': 6, 'ii': 3, 'ma': 5}",-2.016773429709722,7.169266502750064,ARIMA
